the_geom,Length,SegmentID,Width,Rating_B,RatingWord,Shape_len,Merged3.FID,Merged3.Street,Theft_rate,Subway,Rest,Graf,Theft_predicted
"LINESTRING (-74.15303606444368 40.616645278509, -74.1548195863904 40.61688443240957)",503,8451,30,6,FAIR,502.7613748,6003,RIVERSIDE DRIVE,0,0,0,0,0.05
"LINESTRING (-74.15244621465916 40.615449330723024, -74.1526674783895 40.61455148831657)",338,8452,30,6,FAIR,332.8257803,6004,RIVERSIDE DRIVE,0,0,0,0,0.05
"LINESTRING (-74.15524461555971 40.61843192458963, -74.15706790615144 40.618709417077646)",369,8453,38.58,8,GOOD,516.1782638,6005,WEST 66 STREET,0,0,0,0,0.05
"LINESTRING (-74.15524461555971 40.61843192458963, -74.15577653232788 40.61792341763034)",195,8454,60.08,6,FAIR,236.9155968,6006,F D R DRIVE,0,0,0,0,0.05
"LINESTRING (-74.15538702474826 40.61926066071758, -74.15686439517019 40.61947823797822)",397,8455,30,9,GOOD,417.7319715,6007,WEST 135 STREET,0,0,0,0,0.05
"LINESTRING (-74.1548195863904 40.61688443240957, -74.15499795697517 40.61614035202073)",220,8456,30.33,7,GOOD,275.5739465,6008,PERRY STREET,0,0,1,0,0.105
"LINESTRING (-74.1548195863904 40.61688443240957, -74.15566271286494 40.616998575261455)",237,8457,30,7,FAIR,237.7393531,6009,WEST 12 STREET,0,0,0,1,1.175
"LINESTRING (-74.15479170064445 40.61883876523104, -74.15524461555971 40.61843192458963)",199,8458,60.08,7,FAIR,194.3707797,6010,CANAL STREET,0,0,0,0,0.05
"LINESTRING (-74.15479170064445 40.61883876523104, -74.1537527010838 40.61814298126971)",420,8460,30,8,GOOD,384.0052083,6011,WEST 158 STREET,0,0,0,0,0.05
"LINESTRING (-74.15429208001882 40.61930056268601, -74.15479170064445 40.61883876523104)",216,8462,60.08,7,FAIR,218.0481598,6012,EDGECOMBE AVENUE,0,0,0,0,0.05
"LINESTRING (-74.15429208001882 40.61930056268601, -74.1532566679227 40.61859927986409)",417,8463,30,8,GOOD,384.584191,6013,EDGECOMBE AVENUE,0,0,0,0,0.05
